Results will be saved to results.out
Random restart 1 of 5

FOR 2
66 2145
0 1 0.048587 0.048587 0.048587 0.313262
0 2 0.313262 0.313262 0.313262 1.313262
0 3 0.313262 0.313262 0.313262 1.313262
0 4 0.018150 0.018150 0.018150 0.126928
0 5 0.048587 0.048587 0.048587 0.313262
0 6 0.313262 0.313262 0.313262 1.313262
0 7 0.048587 0.048587 0.048587 0.313262
0 8 0.313262 0.313262 0.313262 1.313262
0 9 0.048587 0.048587 0.048587 0.313262
0 10 0.313262 0.313262 0.313262 1.313262
0 11 0.313262 0.313262 0.313262 1.313262
0 12 0.048587 0.048587 0.048587 0.313262
0 13 0.313262 0.313262 0.313262 1.313262
0 14 0.313262 0.313262 0.313262 1.313262
0 15 0.048587 0.048587 0.048587 0.313262
0 16 0.048587 0.048587 0.048587 0.313262
0 17 0.048587 0.048587 0.048587 0.313262
0 18 0.313262 0.313262 0.313262 1.313262
0 19 0.313262 0.313262 0.313262 1.313262
0 20 0.048587 0.048587 0.048587 0.313262
0 21 0.018150 0.018150 0.018150 0.126928
0 22 0.313262 0.313262 0.313262 1.313262
0 23 0.693147 0.693147 0.693147 2.126928
0 24 0.313262 0.313262 0.313262 1.313262
0 25 0.048587 0.048587 0.048587 0.313262
0 26 0.126928 0.126928 0.126928 2.126928
0 27 3.048587 3.048587 3.048587 1.313262
0 28 0.048587 0.048587 0.048587 0.313262
0 29 3.048587 3.048587 3.048587 1.313262
0 30 0.313262 0.313262 0.313262 1.313262
0 31 0.313262 0.313262 0.313262 1.313262
0 32 0.313262 0.313262 0.313262 1.313262
0 33 1.313262 1.313262 1.313262 0.313262
0 34 1.313262 1.313262 1.313262 0.313262
0 35 3.048587 3.048587 3.048587 1.313262
0 36 0.313262 0.313262 0.313262 1.313262
0 37 0.048587 0.048587 0.048587 0.313262
0 38 0.048587 0.048587 0.048587 0.313262
0 39 0.313262 0.313262 0.313262 1.313262
0 40 0.693147 0.693147 0.693147 2.126928
0 41 0.313262 0.313262 0.313262 1.313262
0 42 0.313262 0.313262 0.313262 1.313262
0 43 0.048587 0.048587 0.048587 0.313262
0 44 0.313262 0.313262 0.313262 1.313262
0 45 0.006715 0.006715 0.006715 0.313262
0 46 0.313262 0.313262 0.313262 1.313262
0 47 1.313262 1.313262 1.313262 0.313262
0 48 0.048587 0.048587 0.048587 0.313262
0 49 0.048587 0.048587 0.048587 0.313262
0 50 0.313262 0.313262 0.313262 1.313262
0 51 0.048587 0.048587 0.048587 0.313262
0 52 1.313262 1.313262 1.313262 0.313262
0 53 0.313262 0.313262 0.313262 1.313262
0 54 0.313262 0.313262 0.313262 1.313262
0 55 3.048587 3.048587 3.048587 1.313262
0 56 0.313262 0.313262 0.313262 1.313262
0 57 0.048587 0.048587 0.048587 0.313262
0 58 0.048587 0.048587 0.048587 0.313262
0 59 0.048587 0.048587 0.048587 0.313262
0 60 0.313262 0.313262 0.313262 1.313262
0 61 0.313262 0.313262 0.313262 1.313262
0 62 0.313262 0.313262 0.313262 1.313262
0 63 3.048587 3.048587 3.048587 1.313262
0 64 0.018150 0.018150 0.018150 0.126928
0 65 1.313262 1.313262 1.313262 0.313262
1 2 0.048587 0.048587 0.048587 0.313262
1 3 0.048587 0.048587 0.048587 0.313262
1 4 0.018150 0.018150 0.018150 0.126928
1 5 0.048587 0.048587 0.048587 0.313262
1 6 0.313262 0.313262 0.313262 1.313262
1 7 0.313262 0.313262 0.313262 1.313262
1 8 0.048587 0.048587 0.048587 0.313262
1 9 3.048587 3.048587 3.048587 1.313262
1 10 0.048587 0.048587 0.048587 0.313262
1 11 0.313262 0.313262 0.313262 1.313262
1 12 0.313262 0.313262 0.313262 1.313262
1 13 3.048587 3.048587 3.048587 1.313262
1 14 0.048587 0.048587 0.048587 0.313262
1 15 0.048587 0.048587 0.048587 0.313262
1 16 0.313262 0.313262 0.313262 1.313262
1 17 3.048587 3.048587 3.048587 1.313262
1 18 0.313262 0.313262 0.313262 1.313262
1 19 0.048587 0.048587 0.048587 0.313262
1 20 0.313262 0.313262 0.313262 1.313262
1 21 0.018150 0.018150 0.018150 0.126928
1 22 0.313262 0.313262 0.313262 1.313262
1 23 4.018150 4.018150 4.018150 2.126928
1 24 0.313262 0.313262 0.313262 1.313262
1 25 0.048587 0.048587 0.048587 0.313262
1 26 0.126928 0.126928 0.126928 2.126928
1 27 0.048587 0.048587 0.048587 0.313262
1 28 0.313262 0.313262 0.313262 1.313262
1 29 0.048587 0.048587 0.048587 0.313262
1 30 0.313262 0.313262 0.313262 1.313262
1 31 0.048587 0.048587 0.048587 0.313262
1 32 0.313262 0.313262 0.313262 1.313262
1 33 0.313262 0.313262 0.313262 1.313262
1 34 0.048587 0.048587 0.048587 0.313262
1 35 0.048587 0.048587 0.048587 0.313262
1 36 0.313262 0.313262 0.313262 1.313262
1 37 0.048587 0.048587 0.048587 0.313262
1 38 0.048587 0.048587 0.048587 0.313262
1 39 0.313262 0.313262 0.313262 1.313262
1 40 0.018150 0.018150 0.018150 0.126928
1 41 0.313262 0.313262 0.313262 1.313262
1 42 0.048587 0.048587 0.048587 0.313262
